 Yogmaya Devi Eye Hospital,"Near Alpana Market,Petrol Pump,Beside Raj Chikitsa,Boring Patliputra Road",Bihar,Patna,800013,7070187777,TPAYOGMAYADEVIEYEHOSPITAL@GMAIL.COM
 dr Vishal Mittal Nursing Home,"Nh-2 , Delhi Mathura Road, Near Bus Stand Palwal Haryana 121102",Haryana,Palwal,121102,9991024582,VISHALMITTALNURSINGHOME@GMAIL.COM
 san Jos Parish Hospital,"PAVARATTY, THRISSUR, KERALA 680507",Kerala,Thrissur,680507,7994177346,SANJOSPARISHHOSPITAL@GMAIL.COM
21st Century Hospital,"Docotr Lane No 2, Besides Sbi Bank , Nanded",Maharashtra,Nanded,431601,9320212301,ASHAY.DESHMUKH@YAHOO.COM
3d Medicare Private Limited,"Srachi Renaissance Township Nawabhat, Burdwan - 713102",West Bengal,PURBA BARDHAMAN,713102,9884234290,3DMEDICARE22@GMAIL.COM
7 Orange Hospital,"Pawana nagar,next to jain school,near chapekar chowk,,chinchwad",Maharashtra,Pune,411033,7775868888,BILLING@7ORANGEHOSPITALS.COM
7 Star Super Speciality Hospital,D.NO : 20-1-61,Andhra Pradesh,Kakinada,533001,2388888,7STARHOSPITAL@GMAIL.COM
7x Multi Speciality Hospital,"4th Floor, 7X corrodor, Opp. Motilal Vin Baug",Gujarat,Bharuch,392001,9978354020,ipd7xmultispecialityhospital@gmail.com
A B C Hospital,"Assured Best Care Hospital P Ltd, # 1, Malligai Salaiannamalai Nagar, Annamalai Nagar Main Road",Tamil Nadu,Tiruchirappalli,620018,9655240719,creditcell@abchospital.in
A B Eye Institute,"Rajendra Nagar, Near Bahadurpur Gumti",Bihar,Patna,800016,9431622222,abeyeinstitute@gmail.com
A B Laser Eye Centre,"Embark Plaza, Cs-3, Gh-1,",Uttar Pradesh,Noida,201009,4235957,EMPANELMENT.ABL@GMAIL.COM
A Care Orthopaedic & General Hospital,"G-1 Giriraj Towar Sai Baba Nagar,",Maharashtra,Thane,401107,9323503637 / 7506852310,acarehosp@gmail.com
A G Padmavathis Hospital Limited,"R.S. No. 127/1a/1a/Ia/1, Villiyanoor Main Road, Arumbarthapuram, Pondicherry",Puducherry,Puducherry,605110,9894193669,AGPHOSPITAL_PRO@YAHOO.IN
A J Hospital,"Kazhakuttam, Trivandrum",Kerala,Thiruvananthapuram,695004,4563044658,ajhospital85@gmail.com
A J Hospital And Research Centre,"Mangalore-Udupi Highway  Kuntikana  Mangalore-575004, Mangalore",Karnataka,Mangalore,575004,9845797659,corpdest@ajhospita.in
a m hospital,"NH-2, AGRA KANPUR HIGHWAY, ANANTRAM, AURAIYA",Uttar Pradesh,ETAWAH,206128,9839304555,AMHOSPITAL01@GMAIL.COM
A M Medical Centre Pvt. Ltd,"97a, Southern Avenue (Opp Lake Stadium)",West Bengal,Kolkata,700029,9230060270,TPA@AMMEDICALCENTRE.IN
A N Beach Hospital,"15-9-13/24, Maharanipeta, Beach Road, Krishna Nagar",Andhra Pradesh,Visakhapatnam,530002,9662736708,ANBEACHHOSPITAL@YAHOO.CO.IN
A N N Hospital,"81-85, Annai Therasa Street, Valasaravakkam, Indira Nagar",Tamil Nadu,Chennai,600087,9840396698,ANNHOSPITALS@GMAIL.COM
A One Hospital(A Unit Of Akhila Memorial Hospital),"Bondilipuram Road, Srikakulam",Andhra Pradesh,Srikakulam,532001,7997777141,insurance.onehospital@gmail.com
A P Hospital,"Ajit Nagar Chowk, Near Sutlan Wind Water Tank, Amritsar",Punjab,Amritsar,143006,9814502340,AP.HOSP@YAHOO.COM
A P Medical Center ,"Saradha College Road, Near Alagapuram Police Station",Tamil Nadu,Salem,636016,9994930184,APMCINSURANCE1@GMAIL.COM
A Plus Hospitals,Kurmannna Palem,Andhra Pradesh,Visakhapatnam,530046,7097666999,APLUSSHOSPITALSTPA999@GMAIL.COM
A R Hospital Orthopaedic & Icu,"1st & 2nd Floor,New Era Theater Compound,S V Road,Opp.Alka Vihar Hotel,Malad West,Mumbai, Mumbai, Maharashtra-400064",Maharashtra,Mumbai,400064,28882288,TPA.ARHMALAD@GMAIL.COM
A S Kidney Hospital And Stone Centre Pvt Ltd,"1/46, VIJAY ENCLAVE , MAIN DABRI PALAM ROAD, OPP JINDAL PUBLIC SCHOOL,",Delhi,New Delhi,110045,9871780096,KIDNEYSTONEHOSPITAL@GMAIL.COM
A s lifeline cancer care hospital ,"A3/9, Sector-5, Rohini,  New Delhi-110085",Delhi,NORTH WEST,110085,9999379838,CANCERCARE.ASLIFELINEROHINI@GMAIL.COM
A S M Super Speciality Hospital,"Sedam road, Near old PTO, Kalaburagi",Karnataka,Gulbarga,585103,269999,asmhospitalinsurance@gmail.com
A V Eye Hospital & Diagnostics,"711, Modi Hospital Road, 2Nd Stage, Mahalakshmipuram, Bangalore-560086",Karnataka,bengaluru,560086,9591540370,AVEYEHOSPITALDIAGOSTICSPVTLTD@GMAIL.COM
A V R Hospital ,1/7/26/5 sathyanarayana swamy nagar beside sri kodhanda ramaiayam street number 8 habaiguda,Telangana,Secunderabad,500007,9885549009,avrhospitaltpa@gmail.com
A.B.R  Neuro &Amp; Multi Speciality Hospital,"No: 2-3-212/73/NR, Uppal,Land Mark: Pillar No: 28, Dist-Medchal, Telangana – 500092",Telangana,Malkajgiri,500092,9666407270,abr.neuromultispeciality@gmail.com
"A.G Hospital (Gajanan Hospitals Pvt. Ltd.,)","No. 30, South Street,Radha Nagar, Chromepet, Chennai-600044",Tamil Nadu,CHENGALPATTU,600044,9551672677,AGC@AGHOSPITAL.IN
A.K Eye Hospital (P) Ltd.,"1136 SANJAY NAGAR STADIUM ROAD, BAREILLY",Uttar Pradesh,Bareilly,243003,7042749590,ak.eyehospital03@gmail.com
A.R Patil Multispeciality Hospital,"Plot No 81B, Regency Icon Commercial Complex",Maharashtra,Navi mumbai,410210,7738543332,A.R.PATILHOSPITAL@GMAIL.COM
A.S.Multispeciality Hospital,MAIN KHANSAR CHOWK PANIPAT ROAD ,Haryana,Safidon,126112,9728894022,asmultispecialityhospital@gmail.com
A.V.R. Hospital,"Door No: 12-11-41 A, Old Club Road",Andhra Pradesh,Guntur,522001,0863-2263699,AVRHOSPITALGUNTUR@GMAIL.COM
A1 Hospitals,"12-23-32, Anns Srinivasarao Kalyanamandapam,Opp: RTC Bus Stand, Kothapet",Andhra Pradesh,Guntur,522001,2254321,A1HOSPITALS2016@GMAIL.COM
A1 Superspeciality Healthcare,"Keshava building, Jaya Nagar,",Maharashtra,Mumbai,400068,9967753746,A1HOSPITALTPA@GMAIL.COM
A4 HOSPITAL							,"NO-788, THIRUVOTTIYUR HIGH ROAD, OLD WASHERMANPET , CHENNAI-							",Tamil Nadu,Chennai,600021,9789949123,INSURANCEOWC@A4FERTILITY.COM
A4 Hospital & Fertility Centre,"N0-31,GST ROAD,IRUMBULIYUR, WEST THAMBARAM,chennai-600045",Tamil Nadu,CHENGALPATTU,600045,22419097,INSURANCETAMBARAM@A4HOSPITAL.COM
A4hospital&A4 Fertility,"NO-87.ARCOT ROAD,VIRUGAMBAKKAM",Tamil Nadu,Chennai,600092,42952244,insurance@a4hospital.com
Aa Surgical Speciality Hospital,"No:38-D, 2nd Cross Street, 1st East Main Road, North Anna Nagar, Madurai-625020.",Tamil Nadu,Madurai,625020,0452 - 4210605 / 2521199,AAHOSPITAL.HAND@GMAIL.COM
Aaadvika Multispecialty Hospital,Tila More Near Bal Bharti Public School Afzalpur Road Opp. Shiv Mandir Nistoli Loni Ghaziabad,Uttar Pradesh,Ghaziabad,201002,7835031864,AADVIKAMULTISPECIALTYHOSPITAL@GMAIL.COM
AABHAYA HOSPITAL,"D.NO.45-52-2/2, ABID NAGAR, NEAR NH-5, AKKAYYAPALEM BUS STOP, VISAKHAPATNAM",Andhra Pradesh,Visakhapatnam,530016,,aabhayahospital@gmail.com
Aaddhyas Wellness Pvt Ltd,"Icon Building Manglam More,Saguna More,Bailey Road,Patna",Bihar,Patna,801503,9835076900,AADDHYAS@GMAIL.COM
Aadesh Multispeciality Hospital,Sen Chouraha,Madhya Pradesh,Sehore,466001,83008810000,HOSPITALAADESH929@GMAIL.COM
Aadhar Health Institute,"Tosham Road,Near South Bypass Crossing",Haryana,Hisar,125005,7082211130,billing@aadharhealth.com
Aadhar Hospital,"OPP. BANK OF INDIA, PUNE-MUMBAI HIGHWAY, DEHU ROAD, PUNE.",Maharashtra,Pune,412101,65107896,AADHAR.HOSP@GMAIL.COM
Aadhar Hospital,"A/01, Swarmala Co.Op Hsg , Rsc 02 ,",Maharashtra,Mumbai,400095,8657191256,CASHLESS.AADHARHOSPITAL22@GMAIL.COM
Aadhar Hospital And Icu ,"NEW MONDHA BHOKARDAN ROAD ,JALNA ",Maharashtra,Aurangabad,431203,9420705796,dr.maneishd@gmail.com
Aadhar Multispeciality Hospital & I.C.U.,"7A,1st Floor,Gurusharanam Complex,Vishrali Naka,Market Yard Road,Old Panvel",Maharashtra,Thane,410206,5467450555,aadharmultispecialityhospital@gmail.com
Aadhar Multispeciality Hospital And Icu,"Shakhu Krupa, Plot No. 199/A, Dr. Ambedkar Road, Near Shivaji Chowk, Old Panvel",Maharashtra,Mumbai,410206,9136229905,AADHARMULTISPECIALITYHOSPITAL2@GMAIL.COM
Aadhar Super Speciality Pvt Ltd,"140/1P, BEHIND OLD R.T.O, RIALWAY LINE., SOLAPUR -413005",Maharashtra,Solapur,413001,9923988299,aadharsuperspecialitycashless@gmail.com
Aadhunika Multisreciality Hospital,"12-25-24 BESIDE SIVALAYAM TEMPLE, KOTHAPET",Andhra Pradesh,Guntur,522001,9700121131,amsh121131@gmail.com
Aadhya Children`s Hospital,"6-6-326, 1St Floor, Sainagar, Beside Raja Theatre, Karimnagar, Telangana , 505001",Telangana,karimnagar,505001,9160294888,AADHYAHOSPITAL.KNR@GMAIL.COM
Aadhya Health Care (Greenlands Multispeciality Hospital),"H.No. 8-2-27/1, Ansari Colony, Nalgonda, Telangana ",Telangana,Nalgonda,508001,7337335050,AADHYAHEALTHCARE.GLH@GMAIL.COM
Aadhya Hospital,"SIDDASHREE COMPLEX, 364/A WARD NO.19",Karnataka,Tumkur,572102,6364896969,aadhyahospital24x7@gmail.com
Aadhya Hospital Kidney Care Center,"First Floor, Shafi Towers Beside Swad Restarent, Patel Road, Ntr Circle Madanpalle",Andhra Pradesh,Chittoor,517325,9999999999,AADHYAHOSPITALMPL@GMAIL.COM
Aadhya Kidney & Dialysis Center,"H.NO. 4-163/1, JANMABHOOMI NAGAR, MANCHERIAL",Telangana,Mancherial,504208,9949597222,AADHYANEPHRO@gmail.com
Aadhya9 Multi-Speciality Hospital,"W-4, Metro Station Shadipur, Gate no 4, adjoining Shadipur, West Patel Nagar, New Delhi, Delhi 110008",Delhi,WEST,110008,9212016075,AADHYA9HOSPITAL@GMAIL.COM
Aadicura Superspeciality Hospital,"5,6,7 WINDWARD BUSINESS PARK JETALPUR ROAD VADODARA",Gujarat,Vadodara,390020,8980009911,TPA@AADICURA.COM
Aadira Kidney Care,"90\134 A1, Near To Namakkal Municipality, Tiruchengode Road, Namakkal- 637001",Tamil Nadu,Namakkal,637001,9894349296,AADIRAINSURANCE@GMAIL.COM
Aadishesh Hospital,PLOT NO 608 PARJAPATI ROAD VILL RAMGARH SOHNA TEH SOHNA ,Haryana,GURUGRAM,122101,9810473525,AADISHESHHOSPITAL@GMAIL.COM
Aadit Hospital,"Custom Road, Chala, Vapi, Pin 396191, Gujarat",Gujarat,Valsad,396191,2463232/2464747,aadithospital@gmail.com
Aadithya Adhikari Hospital,"Contour Road , Gokulam",Karnataka,Mysuru,570002,9900451766,HARISH_ADITYA2003@YAHOO.COM
Aaditya Eye And Children Hospital,"401 TO 406, 4TH FLOOR, AKSHAR PLAZA, NR. GOWARDHAN NATHJI HAVELI, NIZAMPURA",Gujarat,Vadodara,390025,9727755278,aadityahealthcare.vadodara@gmail.com
AADITYA HOSPITAL,"Sr. No .35/3, Milkat No. 2/2/2131, vitthalwadi akurdi ",Maharashtra,Akurdi,411035,,na@gmail.com
Aadya Eye Care,1 1 687 1   B  Second Floor Beside Canara Bank Gandhi Nagar,Telangana,Hyderabad,500080,0,
Aadya Hospital ( A Unit Of Hyderabad Nursing Home),5-9-29/40 Basheerbagh Office,Telangana,Secunderabad,500063,4023222344,HNHINSURANCE@GMAIL.COM
Aagam Eye Hospital,"In Front Of Vrindavan Residency,",Madhya Pradesh,Damoh,470661,9300904461,AAGAMEYECARE@GMAIL.COM
Aahana Eye Care Hospital,"S-9 , Nanakram Super Market , Nr H . H . Patel School , Ramnagar, Sabarmati , Ahmedabad.",Gujarat,Ahmedabad,380005,079-27570202,DREKTASHAH01@GMAIL.COM
Aai Mother And Child Care Hospital,"Survey No.51 Manthan Complex D Wing ,Alandi Moshi Road ,Dudulgaon",Maharashtra,Pune,412105,9922190800,ANSHHEALTHCARE.INFO@GMAIL.COM
Aakanksha Maternity & Nursing Home,"Unit No 301/401/501, Navkar Bhavan",Maharashtra,Mumbai,400066,9867053541,tpa.aakankshahospital@gmail.com
Aakash Eye Hospital,"f-101-106, 201-204, r k casta, near healing touch hospital",Gujarat,Bharuch,392015,9724470712,
Aakash Eye Hospital,"15 to 17, opp. Mohan Nagar soc.,M N College Road,",Gujarat,Mahesana,384315,9426877080,CASHLESS.AAKASH@GMAIL.COM
Aakash Healthcare,"ROAD NO 201 , HOSPITAL PLOT, SECTOR 3 DWARKA, NEW DELHI",Delhi,SOUTH WEST,110075,8800015948,TPA@AAKASHHEALTHCARE.COM
Aakash Healthcare Multi Speciality Hospital,"672, MATHURA BYPASS ROAD NH-2, SIKANDRA, AGRA, UP",Uttar Pradesh,Agra,282007,9811808697,PCS.AGRA@AAKASHHEALTHCARE.COM
Aakash Hospital,"90/43, Malviya Nagar, New Delhi",Delhi,SOUTH,110017,9810580749,info@aakashhospital.com
Aakash Hospital,"395, Tondairpet High Road, Thiruvottiyur, Chennai - 600019",Tamil Nadu,Chennai,600019,4425730099,aakashsrkdr@gmail.com
Aakash Hospital,"RISHI NAGAR, NEAR BUS STAND, HISAR, 125001",Haryana,Hisar,125001,7015413085,QUALITY.AAKASHHOSPITAL@GMAIL.COM
Aakash Hospital,"No :3,P.S Sivasamy Salai,Mylapore,Chennai",Tamil Nadu,Chennai,600004,044-42714242,AAKASHENDOSURGINSURANCE@GMAIL.COM
AAKASH HOSPITALS,PLOT 83 BESIDEVIJAYA DIAGNOSTIC CENTRE  GAYATHRI ESTATE GAYATHRI ESTATE ,Andhra Pradesh,Kurnool,518002,7337225255,aakashhospitals1718@gmail.com
Aaloey Phera,"72/65 Thanapukur Para,Hatabari, Contai",West Bengal,Midnapore,721401,7980888622,AALOEYPHERA.MEDICLAIM@GMAIL.COM
Aalok Hospital,"Khasra No-103, Rajeev Nagar, Near Delhi Heritage School, Karala Sector-38, Rohini",Delhi,NEW DELHI,110086,9310204289,TPA.AALOKHOSPITAL@GMAIL.COM
Aalok Orthocare.,"8, Vidyavihar Colony, Opp. Hotel Fortune Landmark, Usmanpura Cross Road, Usmanpura",Gujarat,Ahmedabad,380013,9909983959,MUKESH559@YAHOO.COM
Aanant Prerna Hospital,Degree college chowk east,Bihar,Supaul,852131,9470212370,aphospital@gmail.com
Aanch Hospital,"K-32,Income Tax Colony,",Rajasthan,Jaipur,302018,2550883,ENQUIRYAANCH@GMAIL.COM
Aanvi Endoscopy And Surgery Centre,"112-117, 1st Floor, Maruti Plaza Complex,",Gujarat,Bharuch,392001,9824120966,AANVISURGERYCENTRE@GMAIL.COM
Aapla hospital,Near udayanraje lawns chatrapati sambhaji highway niphad,Maharashtra,Nashik,422201,9561091960,AAPLAHOSPITAL@GMAIL.COM
Aara Speciality Eye Hospital,"689C/1, Salem Road ,Namakkal",Tamil Nadu,Namakkal,637001,8637435119,ASEH.SEEINGLIFE@GMAIL.COM
Aaradhy Eye Hospital,Duber Naka Sinnar Nashik 422103,Maharashtra,Sinnar,422103,9130395033,AARADHYAEYEHOSPITALSINNAR@GMAIL.COM
Aaradhya Eye Hospital,"Manohar arcade, G-17,18,19 near Kankariya jwellers, Untwadi Cidco Nashik-422008",Maharashtra,Nashik,422008,9768975451,AARADHYEYEHOSPITALNASHIK@GMAIL.COM
Aaradhya Eye Hospital,"11, W-2, Juhi Kalan, Damodar Nagar, near Barra By Pass, Police Chowki, Kanpur, Uttar Pradesh 208027",Uttar Pradesh,Kanpur,208027,6307779269,AARADHYAEYEHOSPITALKNP@GMAIL.COM
Aaradhya Health Care Hospital,"Opp.Kanakia Sevens,",Maharashtra,Mumbai,400059,8888000026,CASHLESS.AARADHYAHOSPITAL@GMAIL.COM
Aaradhya Netralaya               ,"1ST FLOOR , HARI APPT PUNE SOLAPUR ROAD, GADITAL",Maharashtra,Pune,411028,7744808800,aaradhyanetralaya@gmail.com
Aaraike Hospital,GOPALAGOWDA EXTENSION BEHIND BSNL OFFICE SAGAR ROAD,Karnataka,Shimoga,577205,250404,AARAIKEHOSPITAL2020@GMAIL.COM
Aaraike Super Speciality Hospital,#1683/1 NEAR STADIUM HADADI ROAD,Karnataka,Davangere,577004,9662736552,INFO@AARAIKEHOSPITALS.COM
Aarav Eye Care And Retina Centre,"Shop no. 5, Bhairav residency, Kanakia road",Maharashtra,Thane,401107,9769672742,AARAVEYECARE2017@GMAIL.COM
Aarbee Institute Of Medical Sciences(A Unitof Bilasa Medicals Pvt Ltd),"Swarnjayanti Nagar, Ring Road",Chhattisgarh,Bilaspur,495001,413533/400900,OFFICE@AARBEEHOSPITAL.COM
Aarif Nursing Home,"10-36-8,RAMNAGAR,Andhra Pradesh",Andhra Pradesh,Visakhapatnam,530002,6646701,AARIFNURSINGHOME@YAHOO.COM
Aarka Hospitals,50/760-A-84-2,Andhra Pradesh,Kurnool,518002,8886688418,INSURANCE.KNL@AARKAHOSPITALS.COM
Aarna Eye Care Centre,"Inder Enclave, Opp-Metro Pillar No-314,Main Rohtak Road.Delhi",Delhi,WEST,110087,9971935535,AARNAEYECARECENTRE87@GMAIL.COM
Aarna Super Speciality Hospital,FF SHANT PRABHA HEIGHTS,Gujarat,Ahmedabad,380008,7778025240,mediclaimaash@gmail.com
Aarna Superspeciality Hospital(Uro Cure Associate),"Opp. Suvidha Shopping Center , Near Parimal Garden Under Bridge",Gujarat,Ahmedabad,380007,4010810824,MEDICLAIMAASH@GMAIL.COM
Aarna Surgical Hospital And Urology Centre,"2Nd Floor, Riverside Business Park,Nr. Cng Pump, Shamlaji Road,Modasa , Gujarat",Gujarat,Modasa,383315,02774-245331,AARNAHOSPITALCASHLESS5131@GMAIL.COM
Aarogya Healthcare Multispeciality Hospital,"City Pride , Parasia Road",Madhya Pradesh,Chhindwara,480001,6262640425,AROGYAHEALTHCARE.CWA@GMAIL.COM
Aarogya Hospital,H.No:-6-6-617/C Karimnagar Telangana -505001,Telangana,Karimnagar,505001,7799308108,AAROGYAHOSPITAL.KARIMNAGAR@GMAIL.COM
Aarogya Hospital,"Shc Aarya , Phc Diwadia",Madhya Pradesh,Sehore,466115,7354547651,AAROGYAHOSPITAL29@GMAIL.COM
Aarogya Hospital,"Opp St. Marys School, SB Temple road, Anand Nagar, Kalaburagi",Karnataka,Gulbarga,585102,233022,aarogya.hospital.99@gmail.com
Aarogya Hospital,mayur kunj opp gali no 6 near dps school maruti kunj gurugram hr,Haryana,GURUGRAM,122102,9311535541,AAROGYAHOSPITAL7@GMAIL.COM
Aarogya Hospital,"Opp.Kuber Appt. Near Ashoka Tower Chowk, Shankar Nagar",Chhattisgarh,Raipur,492007,7714044115,aarogya_raipur@yahoo.com
Aarogya Hospital,"Opposite Vishwas School Urban estate-11 , hisar-125005, Haryana",Haryana,Hisar,125005,245450,AAROGYAHOSPITALHISAR@GMAIL.COM
Aarogya Hospital,"No. 32, Chitra Vihar, Vikas Marg, Behind Lakshmi Nagar District Centre",Delhi,EAST,110092,9911886050,AVHRC@REDIFFMAIL.COM
Aarogya Hospital ,207 nehru nagar railway crossing  rae bareli,Uttar Pradesh,Raebareli,229001,9455116334,amitkumaryadav0@gmail.com
Aarogya Multi Speciality Hospital & Trauma Centre,"HERAMBA HEIGHTS,OLD MUMBAI PUNE HIGHWAY,KHAREGAON NAKA,KALWA[W],THANE",Maharashtra,Thane,400605,9662736575,aarogyahospital123@gmail.com
Aarogya Super Speciality Hospital Research Institute,Nh-1D Block Anand Vihar,Uttar Pradesh,Hapur,245101,9258041987,TPAAAROGYAHOSPITAL21@GMAIL.COM
Aarogyada Multi Super Speciality Hospital-Mumbai,"Grd+1St Flr,Neelyog By Veydanta ,Nityanand Nagar,Ghatkopar West,Mumbi-400086",Maharashtra,Ghatkopar,400086,9833008089,AAROGYADAHOSPITALTPA@GMAIL.COM
Aarogyadham Super Speciality Hospital And Research Center,6 new roadm near Doon hospital,Uttarakhand,Dehradun,248001,2719992,CONTACT@AAROGYADHAMHOSPITAL.COM
Aarogyam Emergency Hospital Pvt Ltd ,"90 Feet , Vijay Nagar,  Infront Of Zoological Survey Of India, Kankarbagh",Bihar,Rohtas,800026,9386747206,corp.aarogyam@gmail.com
Aarogyam Hospital,"182/1,Kaushalyapuri Chitawad,",Madhya Pradesh,Indore,452001,2400344,aarogyamhospital003@gmail.com
Aarogyam Hospital,PATHREDI RICCO IND AREA CHOPANKI  ALWAR RAJ,Rajasthan,Alwar,301019,9694929397,info.aarogyamhospital@gmail.com
Aarogyam hospital,Shoba complex 1 swami viveknand chowk near sadguru krupa medical moigaon khed,Maharashtra,Pune,410501,8983838190,AAROGYAMHOSPITAL2020@GMAIL.COM
Aarogyam Hospital,"Gr, 1St And 2Nd Floor, Prem Tower, S.V Road, Jawahar Nagar, Goregaon West 400062",Maharashtra,Mumbai,400062,9820426679,AAROGYAMHOSPITALGOREGAON@GMAIL.COM
Aarogyam Hospital,Opposite Govt Hospital Near New Bus Stand Bhachau-Kutch
,Gujarat,Kutch,370140,7041965108,GOHELKISHOR04@GMAIL.COM
Aarogyam Hospital,"Chakan - Talegaon Road, Kharabwadi, Besides Janseva Sehkari Bank",Maharashtra,Chakan,410501,9960760086,aarogyamhospital2011@gmail.com
Aarogyam Institute Of Medical Sciences,"Walcut compound, Bajaja Nagar, Amravati, 444601",Maharashtra,Amravati,444601,2571139,hemant_murkey@rediffmail.com
Aarogyam Multi Speciality,Shripat Smruti Building,Maharashtra,Thane,421201,9930743708,AAROGYAMHOSPITAL8@GMAIL.COM
Aarogyam Multispeciality Hospital,"Renuka Building, Opp Mangala High School Near Thane Rly Station Thane East Maharashtra",Maharashtra,Thane,400603,9320901434,aarogyam2011@gmail.com
